numXbins 4
numYbins 4
xbin  ybin  z
0  0  6.13229705137200654e-01
0  1  2.18398780561983585e-02
0  2  3.62949473783373833e-02
0  3  -4.86727356910705566e-02
1  0  -8.45033714431338012e-02
1  1  7.09498381125740707e-01
1  2  1.19046004489064217e-01
1  3  -3.51895368658006191e-02
2  0  -1.68963515316136181e-01
2  1  4.39360956661403179e-01
2  2  5.36920013837516308e-01
2  3  -3.88361669611185789e-02
3  0  -1.44917433819500729e-01
3  1  3.20860214531421661e-01
3  2  1.62288196734152734e-01
3  3  3.11253834050148726e-01
