numXbins 4
numYbins 4
xbin  ybin  z
0  0  1.15611052955278564e-04
0  1  -1.84084194066581193e-05
0  2  -1.85402786073413994e-05
0  3  -5.47675198634772913e-05
1  0  -1.84084194066581159e-05
1  1  2.07277807894294257e-04
1  2  1.46673255762770714e-04
1  3  7.10087827490244735e-05
2  0  -1.85402786073413892e-05
2  1  1.46673255762770714e-04
2  2  2.46318835235679972e-04
2  3  5.79041100815481927e-05
3  0  -5.47675198634772778e-05
3  1  7.10087827490244735e-05
3  2  5.79041100815481859e-05
3  3  1.44777745059659435e-04
