numXbins 4
numYbins 4
xbin  ybin  z
0  0  8.85297646721692181e-06
0  1  -1.37401958348830951e-06
0  2  -1.37294672534828110e-06
0  3  -4.12674853558732354e-06
1  0  -1.37401958348830951e-06
1  1  1.42399894740403397e-05
1  2  1.04066701283512221e-05
1  3  4.81023488907919160e-06
2  0  -1.37294672534828110e-06
2  1  1.04066701283512204e-05
2  2  1.90429080596268933e-05
2  3  4.25894650030002300e-06
3  0  -4.12674853558732354e-06
3  1  4.81023488907919160e-06
3  2  4.25894650030002300e-06
3  3  1.06590083804449899e-05
