numXbins 4
numYbins 4
xbin  ybin  z
0  0  1.41306987662011119e-06
0  1  2.53870185048139686e-06
0  2  4.30049635371814794e-06
0  3  5.83837232963468578e-06
1  0  2.53870185048139728e-06
1  1  4.56099672937146411e-06
1  2  7.72621243422618049e-06
1  3  1.04891392013076350e-05
2  0  4.30049635371814964e-06
2  1  7.72621243422618387e-06
2  2  1.30880073196232137e-05
2  3  1.77683349780959784e-05
3  0  5.83837232963468578e-06
3  1  1.04891392013076367e-05
3  2  1.77683349780959784e-05
3  3  2.41223679192531255e-05
