numXbins 4
numYbins 4
xbin  ybin  z
0  0  2.20004997568333179e-05
0  1  -3.90938059902944862e-06
0  2  -4.36040059312762302e-06
0  3  -1.00483538011606125e-05
1  0  -3.90938059902944862e-06
1  1  6.06637910891523951e-05
1  2  3.87113321029629914e-05
1  3  2.26844714120096599e-05
2  0  -4.36040059312762302e-06
2  1  3.87113321029629914e-05
2  2  4.43664703399480548e-05
2  3  1.49494728232584890e-05
3  0  -1.00483538011606125e-05
3  1  2.26844714120096599e-05
3  2  1.49494728232584856e-05
3  3  2.83689105779531443e-05
