numXbins 4
numYbins 4
xbin  ybin  z
0  0  2.04519952851251777e-05
0  1  9.82522405449915628e-06
0  2  9.19313678688109590e-06
0  3  5.29706728919968994e-05
1  0  9.82522405449915798e-06
1  1  4.72007871971881536e-06
1  2  4.41642135329744116e-06
1  3  2.54473327529064825e-05
2  0  9.19313678688109759e-06
2  1  4.41642135329743354e-06
2  2  4.13229921110797130e-06
2  3  2.38102265720467627e-05
3  0  5.29706728919969130e-05
3  1  2.54473327529064960e-05
3  2  2.38102265720467593e-05
3  3  1.37194056008397154e-04
