numXbins 4
numYbins 4
xbin  ybin  z
0  0  1.02786766578113675e-07
0  1  -1.05105068424067935e-06
0  2  1.83188353726023614e-06
0  3  3.74895048218863399e-06
1  0  -1.05105068424067808e-06
1  1  1.07475658357565343e-05
1  2  -1.87320071385202602e-05
1  3  -3.83350610265024462e-05
2  0  1.83188353726023254e-06
2  1  -1.87320071385202602e-05
2  2  3.26481453381926898e-05
2  3  6.68144441055667213e-05
3  0  3.74895048218862721e-06
3  1  -3.83350610265024462e-05
3  2  6.68144441055667213e-05
3  3  1.36735789886159055e-04
