numXbins 4
numYbins 4
xbin  ybin  z
0  0  9.99052617021488158e-05
0  1  1.74667259486402078e-04
0  2  2.98073607241686016e-04
0  3  3.98159014344788358e-04
1  0  1.74667259486402051e-04
1  1  3.19438655892750282e-04
1  2  5.37837627066875199e-04
1  3  7.19570828733877743e-04
2  0  2.98073607241685907e-04
2  1  5.37837627066875307e-04
2  2  9.13831352654929170e-04
2  3  1.22000791834529125e-03
3  0  3.98159014344788358e-04
3  1  7.19570828733877635e-04
3  2  1.22000791834529104e-03
3  3  1.63654462743415409e-03
