numXbins 4
numYbins 4
xbin  ybin  z
0  0  1.17850300667012072e-05
0  1  9.80248793415301081e-06
0  2  1.03453288558721551e-05
0  3  4.68150901828534198e-06
1  0  9.80248793415300911e-06
1  1  1.36667865457932853e-05
1  2  1.39307245839539524e-05
1  3  6.89873211486564304e-06
2  0  1.03453288558721534e-05
2  1  1.39307245839539524e-05
2  2  1.61665676217027473e-05
2  3  1.06461773786918850e-05
3  0  4.68150901828534198e-06
3  1  6.89873211486564474e-06
3  2  1.06461773786918867e-05
3  3  1.75947349256000634e-05
