numXbins 4
numYbins 4
xbin  ybin  z
0  0  6.11210482483379978e-07
0  1  1.16041798741050950e-06
0  2  5.16664765191353156e-07
0  3  1.13648796426807225e-07
1  0  1.16041798741050993e-06
1  1  2.20460839792203295e-06
1  2  9.81866501121180560e-07
1  3  2.27119056146697876e-07
2  0  5.16664765191353262e-07
2  1  9.81866501121181195e-07
2  2  4.37348883144651741e-07
2  3  1.03304464512188937e-07
3  0  1.13648796426807410e-07
3  1  2.27119056146698008e-07
3  2  1.03304464512188831e-07
3  3  1.07675434152386709e-07
