numXbins 4
numYbins 4
xbin  ybin  z
0  0  1.21411269561611985e-06
0  1  8.78327084342258923e-07
0  2  4.66188676813027998e-07
0  3  3.13624876316120085e-07
1  0  8.78327084342259135e-07
1  1  1.08688925660064601e-06
1  2  5.09448296099619663e-07
1  3  3.50946342039568001e-07
2  0  4.66188676813028051e-07
2  1  5.09448296099619663e-07
2  2  2.44678425762635745e-07
2  3  1.67740198260466306e-07
3  0  3.13624876316120138e-07
3  1  3.50946342039567895e-07
3  2  1.67740198260466200e-07
3  3  1.15104372507694657e-07
