numXbins 4
numYbins 4
xbin  ybin  z
0  0  1.44905244690025684e-05
0  1  -4.02347563163110912e-07
0  2  -1.16585461071732859e-05
0  3  1.06602839624780089e-05
1  0  -4.02347563163112235e-07
1  1  2.97840093915606067e-05
1  2  3.81394429327997742e-05
1  3  1.59678784871556614e-05
2  0  -1.16585461071732842e-05
2  1  3.81394429327997674e-05
2  2  6.99140952961852311e-05
2  3  3.02272497926743554e-05
3  0  1.06602839624780123e-05
3  1  1.59678784871556614e-05
3  2  3.02272497926743587e-05
3  3  5.81904354984218809e-05
