numXbins 7
numYbins 7
xbin  ybin  z
0  0  5.30051803876411425e-06
0  1  4.28234657056895099e-06
0  2  3.45207628262772012e-06
0  3  2.63721876437163085e-06
0  4  2.40849345898827875e-06
0  5  -7.91286142857976508e-09
0  6  -5.55956932532049916e-06
1  0  4.28234657056895099e-06
1  1  3.58446740117143604e-06
1  2  3.04100589452665859e-06
1  3  2.50720808413272202e-06
1  4  2.71242361736960926e-06
1  5  1.50858601709617470e-06
1  6  -5.15143410688990571e-06
2  0  3.45207628262771927e-06
2  1  3.04100589452665859e-06
2  2  2.76631123447489408e-06
2  3  2.49357041146929910e-06
2  4  3.14437585400858065e-06
2  5  3.10744527381393291e-06
2  6  -5.07321963180211705e-06
3  0  2.63721876437163170e-06
3  1  2.50720808413272244e-06
3  2  2.49357041146929910e-06
3  3  2.48034266006215734e-06
3  4  3.58189510660294113e-06
3  5  4.68413770623324741e-06
3  6  -4.91912417079651363e-06
4  0  2.40849345898827832e-06
4  1  2.71242361736960926e-06
4  2  3.14437585400858065e-06
4  3  3.58189510660294113e-06
4  4  5.98811254750961249e-06
4  5  9.58638667889351598e-06
4  6  -6.57479837119080799e-06
5  0  -7.91286142858006287e-09
5  1  1.50858601709617428e-06
5  2  3.10744527381393249e-06
5  3  4.68413770623324741e-06
5  4  9.58638667889351598e-06
5  5  1.89696202043098561e-05
5  6  -5.98958438740988222e-06
6  0  -5.55956932532049916e-06
6  1  -5.15143410688990571e-06
6  2  -5.07321963180211705e-06
6  3  -4.91912417079651363e-06
6  4  -6.57479837119080968e-06
6  5  -5.98958438740988392e-06
6  6  5.50926671159784531e-05
