numXbins 7
numYbins 7
xbin  ybin  z
0  0  1.66887066431395788e-05
0  1  1.66943582924839418e-05
0  2  1.52737664897793119e-05
0  3  1.32110715610038261e-05
0  4  1.58336024367585352e-05
0  5  1.93106122348085111e-05
0  6  -4.84972360865776149e-05
1  0  1.66943582924839079e-05
1  1  1.67000118557657005e-05
1  2  1.52789389680433989e-05
1  3  1.32155455053017489e-05
1  4  1.58389645040980621e-05
1  5  1.93171517954412898e-05
1  6  -4.85136597303261361e-05
2  0  1.52737664897793051e-05
2  1  1.52789389680434158e-05
2  2  1.39787910335283926e-05
2  3  1.20909802309627135e-05
2  4  1.44911616869043529e-05
2  5  1.76733756759027991e-05
2  6  -4.43854323301073449e-05
3  0  1.32110715610038532e-05
3  1  1.32155455053017760e-05
3  2  1.20909802309627203e-05
3  3  1.04581149110024990e-05
3  4  1.25341561412424617e-05
3  5  1.52866178054441515e-05
3  6  -3.83912588405438190e-05
4  0  1.58336024367585352e-05
4  1  1.58389645040980621e-05
4  2  1.44911616869043445e-05
4  3  1.25341561412424583e-05
4  4  1.50223124826982943e-05
4  5  1.83211655327439108e-05
4  6  -4.60123107138534493e-05
5  0  1.93106122348085247e-05
5  1  1.93171517954412898e-05
5  2  1.76733756759027991e-05
5  3  1.52866178054441650e-05
5  4  1.83211655327439108e-05
5  5  2.23444364417795484e-05
5  6  -5.61164708897824918e-05
6  0  -4.84972360865776623e-05
6  1  -4.85136597303261700e-05
6  2  -4.43854323301073382e-05
6  3  -3.83912588405438529e-05
6  4  -4.60123107138534493e-05
6  5  -5.61164708897825325e-05
6  6  1.40932545483031681e-04
