numXbins 7
numYbins 7
xbin  ybin  z
0  0  3.90502439326555622e-07
0  1  1.46063855350448877e-07
0  2  -8.18450894731619296e-08
0  3  -3.92553490617249544e-07
0  4  -1.22503260418556504e-06
0  5  -2.09373761073271126e-06
0  6  6.10541955856866661e-06
1  0  1.46063855350446601e-07
1  1  5.46338452498018398e-08
1  2  -3.06134049522681955e-08
1  3  -1.46831032271434788e-07
1  4  -4.58212208369102059e-07
1  5  -7.83143347435312124e-07
1  6  2.28367618085688843e-06
2  0  -8.18450894731619163e-08
2  1  -3.06134049522648868e-08
2  2  1.71538459079076562e-08
2  3  8.22749676493115154e-08
2  4  2.56753589734330358e-07
2  5  4.38824767341435423e-07
2  6  -1.27962993241219137e-06
3  0  -3.92553490617248538e-07
3  1  -1.46831032271429071e-07
3  2  8.22749676493140036e-08
3  3  3.94615314725142594e-07
3  4  1.23146689101943141e-06
3  5  2.10473463097224177e-06
3  6  -6.13748729337565791e-06
4  0  -1.22503260418556144e-06
4  1  -4.58212208369092159e-07
4  2  2.56753589734335282e-07
4  3  1.23146689101943141e-06
4  4  3.84301026110287061e-06
4  5  6.56819671134565180e-06
4  6  -1.91531147267027518e-05
5  0  -2.09373761073271041e-06
5  1  -7.83143347435298359e-07
5  2  4.38824767341445852e-07
5  3  2.10473463097224262e-06
5  4  6.56819671134565857e-06
5  5  1.12258893700042239e-05
5  6  -3.27351260113087797e-05
6  0  6.10541955856866576e-06
6  1  2.28367618085686640e-06
6  2  -1.27962993241218375e-06
6  3  -6.13748729337565622e-06
6  4  -1.91531147267027958e-05
6  5  -3.27351260113088136e-05
6  6  9.54568889516734507e-05
