numXbins 7
numYbins 7
xbin  ybin  z
0  0  6.78881880902053824e-05
0  1  6.17033898129933285e-05
0  2  5.42088531694075924e-05
0  3  4.41569605035653577e-05
0  4  4.54515954311454656e-05
0  5  4.54413623645851433e-05
0  6  -4.26658216238174698e-05
1  0  6.17033898129933149e-05
1  1  5.60820434529097641e-05
1  2  4.92702794480658575e-05
1  3  4.01341414987851407e-05
1  4  4.13108316690375614e-05
1  5  4.13015308626275349e-05
1  6  -3.87788494199902377e-05
2  0  5.42088531694075924e-05
2  1  4.92702794480658507e-05
2  2  4.32858770370741396e-05
2  3  3.52594207576215567e-05
2  4  3.62931893213653064e-05
2  5  3.62850181973708858e-05
2  6  -3.40687433973708694e-05
3  0  4.41569605035653577e-05
3  1  4.01341414987851407e-05
3  2  3.52594207576215567e-05
3  3  2.87213021258221647e-05
3  4  2.95633800332149986e-05
3  5  2.95567240724558997e-05
3  6  -2.77514108609254097e-05
4  0  4.54515954311454656e-05
4  1  4.13108316690375546e-05
4  2  3.62931893213652997e-05
4  3  2.95633800332149918e-05
4  4  3.04301467656134852e-05
4  5  3.04232956591927019e-05
4  6  -2.85650525921600294e-05
5  0  4.54413623645851366e-05
5  1  4.13015308626275349e-05
5  2  3.62850181973708790e-05
5  3  2.95567240724559031e-05
5  4  3.04232956591927019e-05
5  5  3.04164460952442520e-05
5  6  -2.85586213969137187e-05
6  0  -4.26658216238174698e-05
6  1  -3.87788494199903054e-05
6  2  -3.40687433973709168e-05
6  3  -2.77514108609253962e-05
6  4  -2.85650525921600531e-05
6  5  -2.85586213969137187e-05
6  6  2.68142719086361618e-05
