numXbins 7
numYbins 7
xbin  ybin  z
0  0  5.33668520935263687e-06
0  1  4.48709094655109549e-06
0  2  3.68735392818118310e-06
0  3  2.90933003136480060e-06
0  4  2.96824521929525794e-06
0  5  1.65751886080525456e-06
0  6  4.16751201695532260e-06
1  0  4.48709094655109549e-06
1  1  3.80093123019290614e-06
1  2  3.14633222282058863e-06
1  3  2.50712439582689958e-06
1  4  2.61397815527925611e-06
1  5  1.67127037149834059e-06
1  6  3.89543523787243020e-06
2  0  3.68735392818118395e-06
2  1  3.14633222282058694e-06
2  2  2.62733123287858496e-06
2  3  2.11843583996233912e-06
2  4  2.26165862997247688e-06
2  5  1.62174121614272598e-06
2  6  3.33299094903934658e-06
3  0  2.90933003136480060e-06
3  1  2.50712439582689916e-06
3  2  2.11843583996233912e-06
3  3  1.73516510003897999e-06
3  4  1.90939234881486949e-06
3  5  1.55020850443914353e-06
3  6  2.75210082255681415e-06
4  0  2.96824521929525836e-06
4  1  2.61397815527925611e-06
4  2  2.26165862997247688e-06
4  3  1.90939234881486864e-06
4  4  2.22097919527451620e-06
4  5  2.18340964380739315e-06
4  6  3.23861296709360723e-06
5  0  1.65751886080525498e-06
5  1  1.67127037149834059e-06
5  2  1.62174121614272598e-06
5  3  1.55020850443914226e-06
5  4  2.18340964380739272e-06
5  5  3.39462369720446228e-06
5  6  4.54968802938576032e-06
6  0  4.16751201695532429e-06
6  1  3.89543523787242936e-06
6  2  3.33299094903934573e-06
6  3  2.75210082255681373e-06
6  4  3.23861296709360723e-06
6  5  4.54968802938575778e-06
6  6  2.29982113706788527e-05
