numXbins 7
numYbins 7
xbin  ybin  z
0  0  1.28581688736968317e-04
0  1  1.07794823083376837e-04
0  2  8.64998607869210846e-05
0  3  6.46597686698898566e-05
0  4  5.70151783489323858e-05
0  5  1.05655576013674157e-05
0  6  -2.57761954786507480e-05
1  0  1.07794823083376837e-04
1  1  8.98143926240805229e-05
1  2  7.13983728471848041e-05
1  3  5.24866357609274901e-05
1  4  4.41168501625223674e-05
1  5  9.96252867505577781e-07
1  6  -3.48574026219823798e-05
2  0  8.64998607869210846e-05
2  1  7.13983728471848041e-05
2  2  5.59356431929170913e-05
2  3  4.00280897074399596e-05
2  4  3.09292197940634443e-05
2  5  -8.75148723707607219e-06
2  6  -4.40671039643954728e-05
3  0  6.46597686698898566e-05
3  1  5.24866357609274901e-05
3  2  4.00280897074398648e-05
3  3  2.71752190789760024e-05
3  4  1.72426394548994372e-05
3  5  -1.90933549801119741e-05
3  6  -5.40932974501133330e-05
4  0  5.70151783489323858e-05
4  1  4.41168501625224623e-05
4  2  3.09292197940634443e-05
4  3  1.72426394548994372e-05
4  4  8.23220913093392330e-07
4  5  -4.75473245048204052e-05
4  6  -9.94545877047214503e-05
5  0  1.05655576013674157e-05
5  1  9.96252867505671802e-07
5  2  -8.75148723707616537e-06
5  3  -1.90933549801119741e-05
5  4  -4.75473245048204052e-05
5  5  -1.10677517227548441e-04
5  6  -1.90101664594936296e-04
6  0  -2.57761954786507480e-05
6  1  -3.48574026219825627e-05
6  2  -4.40671039643956625e-05
6  3  -5.40932974501135227e-05
6  4  -9.94545877047216400e-05
6  5  -1.90101664594936648e-04
6  6  -3.11634308414940266e-04
