numXbins 7
numYbins 7
xbin  ybin  z
0  0  2.53911970607329268e-07
0  1  2.75671927439526702e-07
0  2  2.91291483972578043e-07
0  3  3.02855511550733909e-07
0  4  4.70188051077506560e-07
0  5  8.16500967483571268e-07
0  6  1.19436235894795246e-06
1  0  2.75671927439526860e-07
1  1  2.99296741568761630e-07
1  2  3.16254480463640148e-07
1  3  3.28810044183390460e-07
1  4  5.10484994125912519e-07
1  5  8.86475016599985313e-07
1  6  1.29671325384213913e-06
2  0  2.91291483972578095e-07
2  1  3.16254480463640254e-07
2  2  3.34175926061214684e-07
2  3  3.47439149396296729e-07
2  4  5.39391684853393617e-07
2  5  9.36696241778874310e-07
2  6  1.37021815505223941e-06
3  0  3.02855511550734174e-07
3  1  3.28810044183390566e-07
3  2  3.47439149396296940e-07
3  3  3.61233848682770966e-07
3  4  5.60828013495254518e-07
3  5  9.73890751929369545e-07
3  6  1.42457081800001134e-06
4  0  4.70188051077506295e-07
4  1  5.10484994125912625e-07
4  2  5.39391684853393723e-07
4  3  5.60828013495254730e-07
4  4  8.70786640514614991e-07
4  5  1.51201502137032392e-06
4  6  2.21149292625370785e-06
5  0  8.16500967483571056e-07
5  1  8.86475016599985525e-07
5  2  9.36696241778874310e-07
5  3  9.73890751929369545e-07
5  4  1.51201502137032392e-06
5  5  2.62562418930442817e-06
5  6  3.84062020540315766e-06
6  0  1.19436235894795225e-06
6  1  1.29671325384213934e-06
6  2  1.37021815505223941e-06
6  3  1.42457081800001134e-06
6  4  2.21149292625370700e-06
6  5  3.84062020540315766e-06
6  6  5.61847392262285268e-06
