numXbins 7
numYbins 7
xbin  ybin  z
0  0  1.35788599639752312e-07
0  1  1.32890141749342443e-07
0  2  1.27784936835387100e-07
0  3  1.22173745487753885e-07
0  4  1.73050487278339815e-07
0  5  2.66371131783639726e-07
0  6  5.36763586159220206e-07
1  0  1.32890141749342417e-07
1  1  1.30214576499432121e-07
1  2  1.25343943323501330e-07
1  3  1.20009645196637464e-07
1  4  1.70343581458428970e-07
1  5  2.62589474653297264e-07
1  6  5.26108016460677708e-07
2  0  1.27784936835387153e-07
2  1  1.25343943323501383e-07
2  2  1.20763216906650326e-07
2  3  1.15762435463267403e-07
2  4  1.64607253660853521e-07
2  5  2.54060026170464826e-07
2  6  5.06552914176480084e-07
3  0  1.22173745487753885e-07
3  1  1.20009645196637491e-07
3  2  1.15762435463267377e-07
3  3  1.11146836425555808e-07
3  4  1.58419284428170108e-07
3  5  2.44910744907702304e-07
3  6  4.85154644626767573e-07
4  0  1.73050487278339894e-07
4  1  1.70343581458429023e-07
4  2  1.64607253660853548e-07
4  3  1.58419284428170108e-07
4  4  2.26586314932557694e-07
4  5  3.51136794541185308e-07
4  6  6.88971975502150220e-07
5  0  2.66371131783639674e-07
5  1  2.62589474653297264e-07
5  2  2.54060026170464826e-07
5  3  2.44910744907702357e-07
5  4  3.51136794541185308e-07
5  5  5.45046392721770342e-07
5  6  1.06242989335681210e-06
6  0  5.36763586159220100e-07
6  1  5.26108016460677497e-07
6  2  5.06552914176480190e-07
6  3  4.85154644626767573e-07
6  4  6.88971975502150009e-07
6  5  1.06242989335681231e-06
6  6  2.12578481791756361e-06
