numXbins 7
numYbins 7
xbin  ybin  z
0  0  2.96094398457467260e-08
0  1  2.85402549270140972e-08
0  2  2.69443037083586490e-08
0  3  2.53038205339117815e-08
0  4  3.50798661147807902e-08
0  5  5.24889898050462793e-08
0  6  1.15442761749812097e-07
1  0  2.85402549270140972e-08
1  1  2.78289366949406708e-08
1  2  2.65519965735675799e-08
1  3  2.52813239052617742e-08
1  4  3.57671715193526104e-08
1  5  5.44045339936614872e-08
1  6  1.12796937842156245e-07
2  0  2.69443037083586490e-08
2  1  2.65519965735675733e-08
2  2  2.55750756155156120e-08
2  3  2.46470960952175674e-08
2  4  3.54761532168308114e-08
2  5  5.46954137061076260e-08
2  6  1.07821275949580329e-07
3  0  2.53038205339117815e-08
3  1  2.52813239052617742e-08
3  2  2.46470960952175707e-08
3  3  2.41121300862388723e-08
3  4  3.54334516018047778e-08
3  5  5.54945343437458541e-08
3  6  1.02906618555792527e-07
4  0  3.50798661147807836e-08
4  1  3.57671715193526104e-08
4  2  3.54761532168308180e-08
4  3  3.54334516018047844e-08
4  4  5.35205887480344240e-08
4  5  8.55111093421386457e-08
4  6  1.46091238588594510e-07
5  0  5.24889898050462925e-08
5  1  5.44045339936614673e-08
5  2  5.46954137061076392e-08
5  3  5.54945343437458805e-08
5  4  8.55111093421386457e-08
5  5  1.38537441838836954e-07
5  6  2.22823528813787664e-07
6  0  1.15442761749812124e-07
6  1  1.12796937842156258e-07
6  2  1.07821275949580303e-07
6  3  1.02906618555792554e-07
6  4  1.46091238588594510e-07
6  5  2.22823528813787664e-07
6  6  4.57357139098011412e-07
