numXbins 7
numYbins 7
xbin  ybin  z
0  0  9.88378424877894607e-07
0  1  8.72634285324592639e-07
0  2  7.77960196122865553e-07
0  3  6.73938532039955319e-07
0  4  8.00179648869659159e-07
0  5  8.58390435184852065e-07
0  6  8.30015024851305030e-07
1  0  8.72634285324592428e-07
1  1  7.70444798958006489e-07
1  2  6.86857773957805870e-07
1  3  5.95017880350025225e-07
1  4  7.06476678327826662e-07
1  5  7.57873189278177290e-07
1  6  7.32825104786826381e-07
2  0  7.77960196122865658e-07
2  1  6.86857773957805870e-07
2  2  6.12339466414517024e-07
2  3  5.30463702582309934e-07
2  4  6.29830877654075004e-07
2  5  6.75652986926624687e-07
2  6  6.53325469414564516e-07
3  0  6.73938532039955424e-07
3  1  5.95017880350025225e-07
3  2  5.30463702582309828e-07
3  3  4.59535893224100594e-07
3  4  5.45617678759683501e-07
3  5  5.85315198017721412e-07
3  6  5.65977206732200868e-07
4  0  8.00179648869659265e-07
4  1  7.06476678327826451e-07
4  2  6.29830877654075110e-07
4  3  5.45617678759683713e-07
4  4  6.47826820631327276e-07
4  5  6.94966148154169564e-07
4  6  6.72015913636736162e-07
5  0  8.58390435184851853e-07
5  1  7.57873189278177078e-07
5  2  6.75652986926624581e-07
5  3  5.85315198017721412e-07
5  4  6.94966148154169564e-07
5  5  7.45548533393852190e-07
5  6  7.20953113304967036e-07
6  0  8.30015024851304712e-07
6  1  7.32825104786826487e-07
6  2  6.53325469414564728e-07
6  3  5.65977206732200445e-07
6  4  6.72015913636736374e-07
6  5  7.20953113304967248e-07
6  6  6.97218218764053775e-07
