numXbins 5
numYbins 5
xbin  ybin  z
0  0  1.81592339496134864e-05
0  1  1.87674588589728812e-06
0  2  3.74699376439414403e-06
0  3  2.46576250610564939e-05
0  4  1.50942794581496481e-05
1  0  1.87674588589729130e-06
1  1  1.93960556376186525e-07
1  2  3.87249547603253663e-07
1  3  2.54835069131980194e-06
1  4  1.55998468615298032e-06
2  0  3.74699376439414149e-06
2  1  3.87249547603250646e-07
2  2  7.73158290121995787e-07
2  3  5.08787802420012332e-06
2  4  3.11456811254492017e-06
3  0  2.46576250610565075e-05
3  1  2.54835069131979940e-06
3  2  5.08787802420011993e-06
3  3  3.34815045248415961e-05
3  4  2.04958581666261867e-05
4  0  1.50942794581496498e-05
4  1  1.55998468615297630e-06
4  2  3.11456811254492060e-06
4  3  2.04958581666261833e-05
4  4  1.25466345658027003e-05
