numXbins 5
numYbins 5
xbin  ybin  z
0  0  1.56401653899796521e-07
0  1  -6.03770828243300472e-08
0  2  -2.71292991768899756e-07
0  3  -4.75081336445399694e-07
0  4  1.43398883589389822e-07
1  0  -6.03770828243300604e-08
1  1  2.36574177698683304e-08
1  2  1.07206421119271456e-07
1  3  1.92857916579856341e-07
1  4  -5.55791188600894726e-08
2  0  -2.71292991768899809e-07
2  1  1.07206421119271456e-07
2  2  4.88133929126806314e-07
2  3  8.91094480601193618e-07
2  4  -2.50308853235999199e-07
3  0  -4.75081336445399694e-07
3  1  1.92857916579856314e-07
3  2  8.91094480601193512e-07
3  3  1.69902814767200364e-06
3  4  -4.41581106431108644e-07
4  0  1.43398883589389822e-07
4  1  -5.55791188600894858e-08
4  2  -2.50308853235999146e-07
4  3  -4.41581106431108644e-07
4  4  1.31617628049767138e-07
