numXbins 5
numYbins 5
xbin  ybin  z
0  0  8.93438281581921340e-06
0  1  4.05954584688154056e-06
0  2  7.09040955509209615e-06
0  3  6.61949800829450857e-06
0  4  1.14810017844467332e-05
1  0  4.05954584688154141e-06
1  1  5.93139540582139901e-06
1  2  1.51356914582843963e-05
1  3  1.91085666916745235e-05
1  4  7.76878775540072176e-06
2  0  7.09040955509209615e-06
2  1  1.51356914582843963e-05
2  2  4.04317250059686037e-05
2  3  5.25588925803211244e-05
2  4  1.65094965523248493e-05
3  0  6.61949800829451026e-06
3  1  1.91085666916745168e-05
3  2  5.25588925803211244e-05
3  3  7.02004364641655354e-05
3  4  1.83467484454203828e-05
4  0  1.14810017844467332e-05
4  1  7.76878775540072176e-06
4  2  1.65094965523248493e-05
4  3  1.83467484454203828e-05
4  4  1.64081061038646465e-05
