numXbins 5
numYbins 5
xbin  ybin  z
0  0  8.80658658686470876e-06
0  1  1.04939409587820284e-06
0  2  2.33956225826992283e-06
0  3  1.37093287374040399e-06
0  4  1.62403377065049201e-06
1  0  1.04939409587820263e-06
1  1  4.40175131605087073e-07
1  2  1.82226858935724360e-07
1  3  1.76037722983966757e-07
1  4  1.03043594198382914e-06
2  0  2.33956225826992283e-06
2  1  1.82226858935724360e-07
2  2  2.98873088102295456e-06
2  3  1.68819802770594747e-06
2  4  2.31860430516321009e-06
3  0  1.37093287374040399e-06
3  1  1.76037722983966783e-07
3  2  1.68819802770594768e-06
3  3  1.21647941205768314e-06
3  4  1.69928962917557336e-06
4  0  1.62403377065049201e-06
4  1  1.03043594198382914e-06
4  2  2.31860430516321009e-06
4  3  1.69928962917557336e-06
4  4  4.64178810673426578e-06
