numXbins 5
numYbins 5
xbin  ybin  z
0  0  1.79113419017595846e-05
0  1  3.94755081329772307e-06
0  2  5.83577290164364588e-06
0  3  5.96814546606771949e-06
0  4  1.12202592553634585e-05
1  0  3.94755081329772307e-06
1  1  4.71559502250986656e-06
1  2  -1.16960350123243398e-06
1  3  2.52350338663291346e-07
1  4  1.01989998042706777e-05
2  0  5.83577290164364504e-06
2  1  -1.16960350123243398e-06
2  2  2.23950884883156043e-05
2  3  8.72784911807272941e-07
2  4  8.40025887811351171e-06
3  0  5.96814546606772034e-06
3  1  2.52350338663290869e-07
3  2  8.72784911807273999e-07
3  3  1.61717810186782297e-05
3  4  1.12370381237625233e-05
4  0  1.12202592553634585e-05
4  1  1.01989998042706777e-05
4  2  8.40025887811351171e-06
4  3  1.12370381237625233e-05
4  4  3.55800730137424467e-05
