numXbins 5
numYbins 5
xbin  ybin  z
0  0  1.15353277261831314e-05
0  1  -3.05930806668751411e-06
0  2  -1.99569823496810313e-05
0  3  1.03115877514394839e-04
0  4  5.53269889511466808e-05
1  0  -3.05930806668751241e-06
1  1  8.11365404526413344e-07
1  2  5.29283246548225216e-06
1  3  -2.73475746308711160e-05
1  4  -1.46733848939184473e-05
2  0  -1.99569823496810381e-05
2  1  5.29283246548224454e-06
2  2  3.45270766431242235e-05
2  3  -1.78398203880729433e-04
2  4  -9.57198415310547975e-05
3  0  1.03115877514394812e-04
3  1  -2.73475746308711228e-05
3  2  -1.78398203880729487e-04
3  3  9.21766979487624876e-04
3  4  4.94575546646774640e-04
4  0  5.53269889511466876e-05
4  1  -1.46733848939184507e-05
4  2  -9.57198415310548382e-05
4  3  4.94575546646774749e-04
4  4  2.65365300324516495e-04
