numXbins 5
numYbins 5
xbin  ybin  z
0  0  1.70835418321796894e-04
0  1  5.70238317907872144e-05
0  2  6.50247844581162558e-05
0  3  2.65211267517723745e-04
0  4  3.17223940015554486e-04
1  0  5.70238317907871873e-05
1  1  1.90342109619144933e-05
1  2  2.17048806833911503e-05
1  3  8.85259207751918210e-05
1  4  1.05887437003159961e-04
2  0  6.50247844581162423e-05
2  1  2.17048806833911639e-05
2  2  2.47502692085778121e-05
2  3  1.00946897754652931e-04
2  4  1.20744389700329401e-04
3  0  2.65211267517723745e-04
3  1  8.85259207751918075e-05
3  2  1.00946897754652958e-04
3  3  4.11723851583669699e-04
3  4  4.92470261992253690e-04
4  0  3.17223940015554432e-04
4  1  1.05887437003159988e-04
4  2  1.20744389700329401e-04
4  3  4.92470261992253690e-04
4  4  5.89052487520104538e-04
