numXbins 5
numYbins 5
xbin  ybin  z
0  0  9.25629414403622558e-08
0  1  -1.14433726148718130e-07
0  2  1.23754127647936879e-06
0  3  3.67580969065759427e-06
0  4  2.56555134646488975e-06
1  0  -1.14433726148749192e-07
1  1  1.41472142917169363e-07
1  2  -1.52994770182010014e-06
1  3  -4.54433051683621803e-06
1  4  -3.17174017628882352e-06
2  0  1.23754127647938235e-06
2  1  -1.52994770182009654e-06
2  2  1.65455892731850047e-05
2  3  4.91445728267207927e-05
2  4  3.43007216362387686e-05
3  0  3.67580969065759935e-06
3  1  -4.54433051683618161e-06
3  2  4.91445728267208401e-05
3  3  1.45971775223207841e-04
3  4  1.01881793668913342e-04
4  0  2.56555134646485460e-06
4  1  -3.17174017628879599e-06
4  2  3.43007216362387551e-05
4  3  1.01881793668913396e-04
4  4  7.11089514758792972e-05
