numXbins 5
numYbins 5
xbin  ybin  z
0  0  3.65280887898118676e-05
0  1  7.36081417170018428e-07
0  2  2.58738297950735836e-05
0  3  3.56426351154209367e-05
0  4  2.39708287917648344e-05
1  0  7.36081417170025098e-07
1  1  1.48328552260350430e-08
1  2  5.21386306651922275e-07
1  3  7.18238545640820997e-07
1  4  4.83038730258002492e-07
2  0  2.58738297950735768e-05
2  1  5.21386306651931593e-07
2  2  1.83271309954534804e-05
2  3  2.52466390927501855e-05
2  4  1.69791840951163734e-05
3  0  3.56426351154209571e-05
3  1  7.18238545640814115e-07
3  2  2.52466390927502024e-05
3  3  3.47786451484252741e-05
3  4  2.33897675007130208e-05
4  0  2.39708287917648412e-05
4  1  4.83038730258002704e-07
4  2  1.69791840951163734e-05
4  3  2.33897675007130276e-05
4  4  1.57303776901781272e-05
