numXbins 5
numYbins 5
xbin  ybin  z
0  0  1.69570265827121195e-03
0  1  7.06384845795228239e-04
0  2  5.45011969644399906e-04
0  3  1.08330704349183507e-03
0  4  2.30398129468508675e-03
1  0  7.06384845795228348e-04
1  1  3.96133897576141081e-04
1  2  3.38658158581093714e-04
1  3  3.58713250813467467e-04
1  4  1.21486710556479639e-03
2  0  5.45011969644400014e-04
2  1  3.38658158581093551e-04
2  2  3.72113340514679909e-04
2  3  2.19681265095508533e-04
2  4  1.02614812956340856e-03
3  0  1.08330704349183507e-03
3  1  3.58713250813467522e-04
3  2  2.19681265095508587e-04
3  3  1.88198554707693960e-03
3  4  2.06048067945363957e-03
4  0  2.30398129468508675e-03
4  1  1.21486710556479595e-03
4  2  1.02614812956340856e-03
4  3  2.06048067945363914e-03
4  4  4.38760523640521153e-03
