numXbins 5
numYbins 5
xbin  ybin  z
0  0  5.17031960545125732e-03
0  1  1.88405586710945145e-03
0  2  2.08084570964765271e-03
0  3  3.17066625975471290e-03
0  4  6.38534389075966127e-03
1  0  1.88405586710945145e-03
1  1  9.16464997179759961e-04
1  2  8.87090977634895665e-04
1  3  1.16547679005183009e-03
1  4  2.99958995824605714e-03
2  0  2.08084570964765228e-03
2  1  8.87090977634895448e-04
2  2  1.40944083008329841e-03
2  3  1.25923669274842802e-03
2  4  3.21201212983443550e-03
3  0  3.17066625975471333e-03
3  1  1.16547679005183031e-03
3  2  1.25923669274842823e-03
3  3  3.51596071658791644e-03
3  4  5.12609358780647621e-03
4  0  6.38534389075966213e-03
4  1  2.99958995824605758e-03
4  2  3.21201212983443637e-03
4  3  5.12609358780647621e-03
4  4  1.09019572820398675e-02
