numXbins 5
numYbins 5
xbin  ybin  z
0  0  9.49124385218946018e-04
0  1  -1.62655698924826930e-05
0  2  -1.17240618731415572e-04
0  3  -1.94675889444523217e-04
0  4  -6.20942307150525803e-04
1  0  -1.62655698924831334e-05
1  1  1.20537582362805618e-04
1  2  2.50644911257334884e-05
1  3  -2.69070388283120172e-04
1  4  1.39733884687063067e-04
2  0  -1.17240618731415125e-04
2  1  2.50644911257339289e-05
2  2  4.22911895646180854e-04
2  3  -3.62585206611186885e-04
2  4  3.18494385706878834e-05
3  0  -1.94675889444522322e-04
3  1  -2.69070388283119467e-04
3  2  -3.62585206611187318e-04
3  3  9.34847018443924708e-04
3  4  -1.08515534105094042e-04
4  0  -6.20942307150524069e-04
4  1  1.39733884687063067e-04
4  2  3.18494385706878834e-05
4  3  -1.08515534105094923e-04
4  4  5.57874517997873306e-04
