numXbins 5
numYbins 5
xbin  ybin  z
0  0  2.57791993693533103e-05
0  1  3.25274101819616620e-06
0  2  5.56632465348421309e-06
0  3  2.80412606033503081e-06
0  4  3.71152807651734586e-06
1  0  3.25274101819616620e-06
1  1  4.13354241151574916e-07
1  2  7.14991123582927038e-07
1  3  3.61011321376448920e-07
1  4  4.89361495010276739e-07
2  0  5.56632465348421394e-06
2  1  7.14991123582927144e-07
2  2  1.25644552951697855e-06
2  3  6.36503712859597391e-07
2  4  8.92188420418603189e-07
3  0  2.80412606033503081e-06
3  1  3.61011321376449026e-07
3  2  6.36503712859597391e-07
3  3  3.22667785789426053e-07
3  4  4.55360905796273674e-07
4  0  3.71152807651734628e-06
4  1  4.89361495010276845e-07
4  2  8.92188420418603295e-07
4  3  4.55360905796273621e-07
4  4  6.85454797391709510e-07
