numXbins 5
numYbins 5
xbin  ybin  z
0  0  7.93826287547572639e-05
0  1  1.35128250643339062e-05
0  2  2.59265082552215591e-05
0  3  4.16049697873766819e-05
0  4  4.97783302495013739e-05
1  0  1.35128250643339113e-05
1  1  2.35658379576090177e-06
1  2  4.57058555720374947e-06
1  3  7.55324091054501437e-06
1  4  9.05890969606078162e-06
2  0  2.59265082552215455e-05
2  1  4.57058555720374947e-06
2  2  8.90637968341812264e-06
2  3  1.49024006909521696e-05
2  4  1.78908786875787628e-05
3  0  4.16049697873766683e-05
3  1  7.55324091054501437e-06
3  2  1.49024006909521646e-05
3  3  2.57416917635020545e-05
3  4  3.09810355958533459e-05
4  0  4.97783302495013807e-05
4  1  9.05890969606077992e-06
4  2  1.78908786875787695e-05
4  3  3.09810355958533459e-05
4  4  3.72939267117489072e-05
