numXbins 5
numYbins 5
xbin  ybin  z
0  0  7.52623392348574117e-07
0  1  -1.94124273453836308e-06
0  2  -2.71665544692892380e-06
0  3  -3.82314374081676394e-06
0  4  -9.69431057340347547e-06
1  0  -1.94124273453835884e-06
1  1  5.02908834044711090e-06
1  2  7.03859494538231046e-06
1  3  9.90509207278607228e-06
1  4  2.51113304180890897e-05
2  0  -2.71665544692892422e-06
2  1  7.03859494538230877e-06
2  2  9.85107452334904748e-06
2  3  1.38629561994973474e-05
2  4  3.51451326955229079e-05
3  0  -3.82314374081675801e-06
3  1  9.90509207278607059e-06
3  2  1.38629561994973508e-05
3  3  1.95086938445587125e-05
3  4  4.94581800873621706e-05
4  0  -9.69431057340346869e-06
4  1  2.51113304180890829e-05
4  2  3.51451326955229079e-05
4  3  4.94581800873621774e-05
4  4  1.25386811442545029e-04
