numXbins 4
numYbins 4
xbin  ybin  z
0  0  1.07384916328062257e-04
0  1  2.44198083567064058e-05
0  2  6.90231585654597848e-07
0  3  9.48543138935148693e-05
1  0  2.44198083567064126e-05
1  1  1.38920206221570668e-04
1  2  1.21200851087188130e-04
1  3  1.11547135797276101e-04
2  0  6.90231585654602612e-07
2  1  1.21200851087188130e-04
2  2  1.26715156862031403e-04
2  3  1.47484630417706589e-04
3  0  9.48543138935148693e-05
3  1  1.11547135797276074e-04
3  2  1.47484630417706616e-04
3  3  7.55046489152757789e-04
