numXbins 4
numYbins 4
xbin  ybin  z
0  0  4.99349958376317456e-06
0  1  7.09868580849555629e-06
0  2  1.46552812463793632e-05
0  3  2.51377452794839060e-05
1  0  7.09868580849555375e-06
1  1  1.00913876856199830e-05
1  2  2.08337329878744561e-05
1  3  3.57354501947449433e-05
2  0  1.46552812463793582e-05
2  1  2.08337329878744595e-05
2  2  4.30113720463393324e-05
2  3  7.37760604143376152e-05
3  0  2.51377452794839027e-05
3  1  3.57354501947449297e-05
3  2  7.37760604143376152e-05
3  3  1.26545767579698413e-04
