numXbins 5
numYbins 5
xbin  ybin  z
0  0  1.17262587734804583e-03
0  1  5.32540812249868460e-04
0  2  5.37451611637351214e-04
0  3  1.17430483141605941e-03
0  4  1.74201336108224694e-03
1  0  5.32540812249867918e-04
1  1  9.18197839743568564e-04
1  2  8.20769186338339346e-04
1  3  1.28331764215970884e-03
1  4  2.17433951444977354e-03
2  0  5.37451611637351540e-04
2  1  8.20769186338339454e-04
2  2  9.44934473323863640e-04
2  3  1.43356475095537299e-03
2  4  2.38957922426390060e-03
3  0  1.17430483141605919e-03
3  1  1.28331764215970927e-03
3  2  1.43356475095537364e-03
3  3  2.94661047949571235e-03
3  4  4.66151239259957485e-03
4  0  1.74201336108224759e-03
4  1  2.17433951444977224e-03
4  2  2.38957922426390060e-03
4  3  4.66151239259957485e-03
4  4  8.76801697779355967e-03
