numXbins 4
numYbins 4
xbin  ybin  z
0  0  1.29783822074197006e-04
0  1  6.13347681431030588e-05
0  2  9.09308752024195007e-05
0  3  2.21524649911468137e-04
1  0  6.13347681431030453e-05
1  1  2.89863075616428612e-05
1  2  4.29731846269819123e-05
1  3  1.04690729731585775e-04
2  0  9.09308752024195007e-05
2  1  4.29731846269819056e-05
2  2  6.37092045289817190e-05
2  3  1.55207559566580253e-04
3  0  2.21524649911468110e-04
3  1  1.04690729731585761e-04
3  2  1.55207559566580253e-04
3  3  3.78114696686491190e-04
