numXbins 4
numYbins 4
xbin  ybin  z
0  0  7.06850285022832996e-04
0  1  8.60533816973677750e-05
0  2  2.77289160440273271e-04
0  3  6.64101131839334754e-04
1  0  8.60533816973677615e-05
1  1  2.39821933515132281e-04
1  2  4.11151366168933669e-04
1  3  6.32143932573814662e-04
2  0  2.77289160440273325e-04
2  1  4.11151366168933724e-04
2  2  1.15334034291332500e-03
2  3  2.25153947331800577e-03
3  0  6.64101131839334646e-04
3  1  6.32143932573814554e-04
3  2  2.25153947331800533e-03
3  3  4.96500800360489408e-03
