numXbins 4
numYbins 4
xbin  ybin  z
0  0  3.00829010928702024e-04
0  1  4.56684518141590784e-04
0  2  9.63550863755305753e-04
0  3  1.67296684999911570e-03
1  0  4.56684518141590404e-04
1  1  7.06158697373713163e-04
1  2  1.48383916359084230e-03
1  3  2.56020229382371550e-03
2  0  9.63550863755305536e-04
2  1  1.48383916359084230e-03
2  2  3.12839205390563150e-03
2  3  5.41358754257893239e-03
3  0  1.67296684999911570e-03
3  1  2.56020229382371636e-03
3  2  5.41358754257893413e-03
3  3  9.40773702603447427e-03
