numXbins 4
numYbins 4
xbin  ybin  z
0  0  1.35731135227245133e-06
0  1  1.33146595176335406e-06
0  2  1.42172672745696893e-06
0  3  1.70538284069130596e-06
1  0  1.33146595176335406e-06
1  1  1.33268812702460291e-06
1  2  1.37084655609932242e-06
1  3  1.43093781482014610e-06
2  0  1.42172672745696893e-06
2  1  1.37084655609932263e-06
2  2  1.51052823677741057e-06
2  3  2.00309283017072623e-06
3  0  1.70538284069130575e-06
3  1  1.43093781482014588e-06
3  2  2.00309283017072623e-06
3  3  4.34588957330066996e-06
