numXbins 4
numYbins 4
xbin  ybin  z
0  0  2.00269400805824302e-06
0  1  2.55081246384636125e-07
0  2  2.77530939856959951e-06
0  3  1.53724308174088178e-05
1  0  2.55081246384636548e-07
1  1  7.46872821379399695e-07
1  2  1.27868073363619112e-07
1  3  -3.24844899338025284e-06
2  0  2.77530939856959951e-06
2  1  1.27868073363619271e-07
2  2  3.91724725546486053e-06
2  3  2.29472511251486053e-05
3  0  1.53724308174088178e-05
3  1  -3.24844899338025284e-06
3  2  2.29472511251486053e-05
3  3  1.55941232547958717e-04
