numXbins 7
numYbins 7
xbin  ybin  z
0  0  1.59906974211204136e-04
0  1  1.39900489250498905e-04
0  2  1.11194437596355236e-04
0  3  8.46007766133391584e-05
0  4  8.20793434817396986e-05
0  5  -3.11866979073944218e-05
0  6  1.18104771403395648e-04
1  0  1.39900489250498905e-04
1  1  1.26538025490458120e-04
1  2  1.03157229835729511e-04
1  3  8.13258399616501726e-05
1  4  8.43198390346992658e-05
1  5  -3.03557358263768122e-07
1  6  7.47165178250125455e-05
2  0  1.11194437596355249e-04
2  1  1.03157229835729511e-04
2  2  8.68961853948762929e-05
2  3  7.20277309335503192e-05
2  4  8.04955565737224205e-05
2  5  2.61765240133063098e-05
2  6  3.28608869397113866e-05
3  0  8.46007766133391448e-05
3  1  8.13258399616501726e-05
3  2  7.20277309335503192e-05
3  3  6.48130706144716312e-05
3  4  8.15933453084342880e-05
3  5  5.74736114263536900e-05
3  6  -2.50609970131694357e-05
4  0  8.20793434817396986e-05
4  1  8.43198390346992658e-05
4  2  8.04955565737224205e-05
4  3  8.15933453084342880e-05
4  4  1.23011125701678604e-04
4  5  1.34349337188689348e-04
4  6  -1.18424842018434540e-04
5  0  -3.11866979073944218e-05
5  1  -3.03557358263768122e-07
5  2  2.61765240133063030e-05
5  3  5.74736114263537035e-05
5  4  1.34349337188689348e-04
5  5  2.97215077091396234e-04
5  6  -3.73527945127154074e-04
6  0  1.18104771403395635e-04
6  1  7.47165178250125184e-05
6  2  3.28608869397113866e-05
6  3  -2.50609970131694290e-05
6  4  -1.18424842018434567e-04
6  5  -3.73527945127154020e-04
6  6  1.39734629148677053e-03
