numXbins 7
numYbins 7
xbin  ybin  z
0  0  1.90204473807301055e-05
0  1  1.64876955758187889e-05
0  2  1.40098720969750754e-05
0  3  1.15876185849703130e-05
0  4  1.29531901932520569e-05
0  5  1.07981321327797956e-05
0  6  1.50227463994362622e-05
1  0  1.64876955758187821e-05
1  1  1.42922035407160705e-05
1  2  1.21443256074566831e-05
1  3  1.00446179762968820e-05
1  4  1.12283508566885950e-05
1  5  9.36025908481581322e-06
1  6  1.30223261518849304e-05
2  0  1.40098720969750805e-05
2  1  1.21443256074566898e-05
2  2  1.03192376206908569e-05
2  3  8.53508074938529599e-06
2  4  9.54091847698102689e-06
2  5  7.95356949488717474e-06
2  6  1.10652894429087903e-05
3  0  1.15876185849703130e-05
3  1  1.00446179762968854e-05
3  2  8.53508074938529429e-06
3  3  7.05939780400661002e-06
3  4  7.89133002045197699e-06
3  5  6.57842763002146132e-06
3  6  9.15214305378349638e-06
4  0  1.29531901932520484e-05
4  1  1.12283508566885899e-05
4  2  9.54091847698102350e-06
4  3  7.89133002045197529e-06
4  4  8.82130334918129375e-06
4  5  7.35367872521587843e-06
4  6  1.02307000167637986e-05
5  0  1.07981321327797888e-05
5  1  9.36025908481581152e-06
5  2  7.95356949488717474e-06
5  3  6.57842763002145709e-06
5  4  7.35367872521587419e-06
5  5  6.13022686706624256e-06
5  6  8.52859017305238454e-06
6  0  1.50227463994362622e-05
6  1  1.30223261518849355e-05
6  2  1.10652894429087852e-05
6  3  9.15214305378350485e-06
6  4  1.02307000167638020e-05
6  5  8.52859017305238793e-06
6  6  1.18652787110790003e-05
