numXbins 7
numYbins 7
xbin  ybin  z
0  0  1.32706917414630767e-04
0  1  1.34123854899145578e-04
0  2  1.36840206791561628e-04
0  3  1.19671038908779491e-04
0  4  1.33102072583413171e-04
0  5  1.69386749325412775e-04
0  6  -3.40278987604899293e-04
1  0  1.34123854899145497e-04
1  1  1.35555921299877654e-04
1  2  1.38301276208055738e-04
1  3  1.20948789791281631e-04
1  4  1.34523229216272020e-04
1  5  1.71195324486189020e-04
1  6  -3.43912212323876508e-04
2  0  1.36840206791561764e-04
2  1  1.38301276208055874e-04
2  2  1.41102231590927986e-04
2  3  1.23398312840571035e-04
2  4  1.37247669462418643e-04
2  5  1.74662468671617888e-04
2  6  -3.50877316253177327e-04
3  0  1.19671038908779573e-04
3  1  1.20948789791281686e-04
3  2  1.23398312840571008e-04
3  3  1.07915682411350626e-04
3  4  1.20027377753051192e-04
3  5  1.52747789369707301e-04
3  6  -3.06853182628568082e-04
4  0  1.33102072583413279e-04
4  1  1.34523229216272102e-04
4  2  1.37247669462418697e-04
4  3  1.20027377753051138e-04
4  4  1.33498404387223267e-04
4  5  1.69891124310705125e-04
4  6  -3.41292220399388665e-04
5  0  1.69386749325412667e-04
5  1  1.71195324486188912e-04
5  2  1.74662468671617942e-04
5  3  1.52747789369707193e-04
5  4  1.69891124310705234e-04
5  5  2.16204787256002825e-04
5  6  -4.34331176528267087e-04
6  0  -3.40278987604898859e-04
6  1  -3.43912212323876075e-04
6  2  -3.50877316253177653e-04
6  3  -3.06853182628567648e-04
6  4  -3.41292220399389099e-04
6  5  -4.34331176528266979e-04
6  6  8.72522636055512221e-04
