numXbins 7
numYbins 7
xbin  ybin  z
0  0  1.32810797053846532e-04
0  1  9.30836704473927290e-05
0  2  7.52268674713619964e-05
0  3  7.26456278987528553e-05
0  4  9.42666386443104584e-05
0  5  4.43615910150535739e-06
0  6  3.14598119480476469e-05
1  0  9.30836704473927425e-05
1  1  6.52399495836612585e-05
1  2  5.27245758313980522e-05
1  3  5.09154514299752997e-05
1  4  6.60690615552353221e-05
1  5  3.10918977234440019e-06
1  6  2.20493727367793266e-05
2  0  7.52268674713619829e-05
2  1  5.27245758313980454e-05
2  2  4.26101018523324901e-05
2  3  4.11480327167803886e-05
2  4  5.33946342434131913e-05
2  5  2.51273511050098376e-06
2  6  1.78195083275513469e-05
3  0  7.26456278987528688e-05
3  1  5.09154514299752997e-05
3  2  4.11480327167803954e-05
3  3  3.97361311721094838e-05
3  4  5.15625183052271661e-05
3  5  2.42651629638940498e-06
3  6  1.72080722594866483e-05
4  0  9.42666386443104991e-05
4  1  6.60690615552353086e-05
4  2  5.33946342434131845e-05
4  3  5.15625183052271797e-05
4  4  6.69087104243053655e-05
4  5  3.14870339058900367e-06
4  6  2.23295905943716044e-05
5  0  4.43615910150536416e-06
5  1  3.10918977234438494e-06
5  2  2.51273511050092786e-06
5  3  2.42651629638937915e-06
5  4  3.14870339058896894e-06
5  5  1.48177015803094323e-07
5  6  1.05082368452612743e-06
6  0  3.14598119480476130e-05
6  1  2.20493727367791911e-05
6  2  1.78195083275513910e-05
6  3  1.72080722594866686e-05
6  4  2.23295905943715976e-05
6  5  1.05082368452622251e-06
6  6  7.45210321571397391e-06
