numXbins 7
numYbins 7
xbin  ybin  z
0  0  4.73656249333361398e-06
0  1  4.11193008780484896e-06
0  2  3.49867082474384665e-06
0  3  2.89727901597281521e-06
0  4  3.24253092373126718e-06
0  5  2.70869358852562675e-06
0  6  3.74819085945141895e-06
1  0  4.11193008780484896e-06
1  1  3.56967084690460304e-06
1  2  3.03728491956707813e-06
1  3  2.51520143042798369e-06
1  4  2.81492337210658725e-06
1  5  2.35148563562256788e-06
1  6  3.25389959311318011e-06
2  0  3.49867082474384835e-06
2  1  3.03728491956708025e-06
2  2  2.58429980753800548e-06
2  3  2.14008061301698379e-06
2  4  2.39510158625690656e-06
2  5  2.00078163112664745e-06
2  6  2.76860825207961678e-06
3  0  2.89727901597281606e-06
3  1  2.51520143042798497e-06
3  2  2.14008061301698421e-06
3  3  1.77221892632277164e-06
3  4  1.98340395955752556e-06
3  5  1.65686425667996619e-06
3  6  2.29270800084107099e-06
4  0  3.24253092373126760e-06
4  1  2.81492337210658810e-06
4  2  2.39510158625690571e-06
4  3  1.98340395955752513e-06
4  4  2.21975468626272597e-06
4  5  1.85430314411948855e-06
4  6  2.56591669315532018e-06
5  0  2.70869358852562803e-06
5  1  2.35148563562256746e-06
5  2  2.00078163112664745e-06
5  3  1.65686425667996534e-06
5  4  1.85430314411948792e-06
5  5  1.54901808365163363e-06
5  6  2.14347442134578274e-06
6  0  3.74819085945141641e-06
6  1  3.25389959311317969e-06
6  2  2.76860825207961678e-06
6  3  2.29270800084107099e-06
6  4  2.56591669315532145e-06
6  5  2.14347442134578274e-06
6  6  2.96606130261093001e-06
