numXbins 7
numYbins 7
xbin  ybin  z
0  0  2.48724398202721670e-05
0  1  2.10228453778286221e-05
0  2  1.65452332512305946e-05
0  3  1.26485152058377665e-05
0  4  1.30857938143449753e-05
0  5  4.23537630454564311e-06
0  6  -2.44054049212304456e-07
1  0  2.10228453778286120e-05
1  1  1.77714947046803744e-05
1  2  1.39851159072888809e-05
1  3  1.06858655661752616e-05
1  4  1.10398060748698812e-05
1  5  3.54854297773311626e-06
1  6  -1.26090366285869825e-07
2  0  1.65452332512305912e-05
2  1  1.39851159072888826e-05
2  2  1.10061185137482258e-05
2  3  8.41250711970147163e-06
2  4  8.69921959743727093e-06
2  5  2.80905575680329295e-06
2  6  -1.41007295348602337e-07
3  0  1.26485152058377648e-05
3  1  1.06858655661752633e-05
3  2  8.41250711970146993e-06
3  3  6.44248966384257758e-06
3  4  6.69706623016205975e-06
3  5  2.21823082109723736e-06
3  6  -2.89033711242889083e-07
4  0  1.30857938143449719e-05
4  1  1.10398060748698778e-05
4  2  8.69921959743726754e-06
4  3  6.69706623016205806e-06
4  4  7.06029602376452649e-06
4  5  2.49456794623686831e-06
4  6  -8.10375437183954221e-07
5  0  4.23537630454564396e-06
5  1  3.54854297773311457e-06
5  2  2.80905575680329126e-06
5  3  2.21823082109724075e-06
5  4  2.49456794623686577e-06
5  5  1.12485693120360635e-06
5  6  -1.07537695847646806e-06
6  0  -2.44054049212322773e-07
6  1  -1.26090366285881789e-07
6  2  -1.41007295348604163e-07
6  3  -2.89033711242890142e-07
6  4  -8.10375437183955174e-07
6  5  -1.07537695847646214e-06
6  6  2.65024761266687790e-06
