numXbins 7
numYbins 7
xbin  ybin  z
0  0  1.53038717607859731e-06
0  1  1.54391235259771734e-06
0  2  1.61340157826645802e-06
0  3  1.56860905546485616e-06
0  4  2.10227404771404936e-06
0  5  3.76549218686454368e-06
0  6  5.53214066417471840e-06
1  0  1.54391235259771756e-06
1  1  1.55756798611403079e-06
1  2  1.62768805596219647e-06
1  3  1.58250890555090377e-06
1  4  2.12091422366062548e-06
1  5  3.79895874422941953e-06
1  6  5.58126646442636392e-06
2  0  1.61340157826645887e-06
2  1  1.62768805596219689e-06
2  2  1.70098895130274900e-06
2  3  1.65379007192874646e-06
2  4  2.21646375822386902e-06
2  5  3.97022361285309454e-06
2  6  5.83281876883542921e-06
3  0  1.56860905546485785e-06
3  1  1.58250890555090504e-06
3  2  1.65379007192874731e-06
3  3  1.60791002440899053e-06
3  4  2.15498423530924559e-06
3  5  3.86017138943881917e-06
3  6  5.67109788498014180e-06
4  0  2.10227404771405148e-06
4  1  2.12091422366062421e-06
4  2  2.21646375822386902e-06
4  3  2.15498423530924559e-06
4  4  2.88820646123344882e-06
4  5  5.17365719260830756e-06
4  6  7.60073678787428503e-06
5  0  3.76549218686454580e-06
5  1  3.79895874422942122e-06
5  2  3.97022361285309708e-06
5  3  3.86017138943882171e-06
5  4  5.17365719260830926e-06
5  5  9.26816900764240288e-06
5  6  1.36157709772021777e-05
6  0  5.53214066417471501e-06
6  1  5.58126646442636561e-06
6  2  5.83281876883542921e-06
6  3  5.67109788498014519e-06
6  4  7.60073678787429180e-06
6  5  1.36157709772021811e-05
6  6  2.00029508594580376e-05
