numXbins 7
numYbins 7
xbin  ybin  z
0  0  1.44467939719031795e-06
0  1  1.45919306474505545e-06
0  2  1.52730247266650211e-06
0  3  1.48644730218288345e-06
0  4  1.99402806331234651e-06
0  5  3.58276568119945863e-06
0  6  5.26205243071845801e-06
1  0  1.45919306474505545e-06
1  1  1.47483966978720707e-06
1  2  1.54496105119556751e-06
1  3  1.50447520663489737e-06
1  4  2.01929171479487488e-06
1  5  3.63357741352257268e-06
1  6  5.33870882755590959e-06
2  0  1.52730247266649935e-06
2  1  1.54496105119556496e-06
2  2  1.62007929422739427e-06
2  3  1.57871615190378612e-06
2  4  2.12033615368506078e-06
2  5  3.82241798948937070e-06
2  6  5.61878983723857083e-06
3  0  1.48644730218288281e-06
3  1  1.50447520663489694e-06
3  2  1.57871615190378845e-06
3  3  1.53912435104460744e-06
3  4  2.06807775037258366e-06
3  5  3.73280373109373706e-06
3  6  5.48877470794378414e-06
4  0  1.99402806331234651e-06
4  1  2.01929171479487657e-06
4  2  2.12033615368506374e-06
4  3  2.06807775037258408e-06
4  4  2.77999097565054549e-06
4  5  5.02366134171992900e-06
4  6  7.38906375021871928e-06
5  0  3.58276568119945990e-06
5  1  3.63357741352257353e-06
5  2  3.82241798948937239e-06
5  3  3.73280373109373706e-06
5  4  5.02366134171992985e-06
5  5  9.10760464924072007e-06
5  6  1.34069038419547901e-05
6  0  5.26205243071845039e-06
6  1  5.33870882755590281e-06
6  2  5.61878983723856744e-06
6  3  5.48877470794378414e-06
6  4  7.38906375021871758e-06
6  5  1.34069038419547935e-05
6  6  1.97397798615215775e-05
