numXbins 5
numYbins 5
xbin  ybin  z
0  0  7.59954505497861020e-06
0  1  2.12764480231814501e-06
0  2  2.30666112710002908e-06
0  3  4.99750741539803805e-06
0  4  1.84888181103376843e-06
1  0  2.12764480231814458e-06
1  1  7.14316902205083397e-07
1  2  8.27104661474492142e-07
1  3  1.75375743293265866e-06
1  4  4.05155776125867918e-07
2  0  2.30666112710002908e-06
2  1  8.27104661474492036e-07
2  2  1.03169738015094829e-06
2  3  2.38817294497946524e-06
2  4  5.71272670347199126e-07
3  0  4.99750741539803805e-06
3  1  1.75375743293265866e-06
3  2  2.38817294497946524e-06
3  3  6.85247246961262591e-06
3  4  2.25296585111412643e-06
4  0  1.84888181103376843e-06
4  1  4.05155776125867971e-07
4  2  5.71272670347199126e-07
4  3  2.25296585111412643e-06
4  4  1.41732596311146638e-06
