numXbins 5
numYbins 5
xbin  ybin  z
0  0  3.14249713389997548e-03
0  1  1.04151299145892307e-03
0  2  1.07069180647745982e-03
0  3  1.02546619723483312e-03
0  4  1.33397730816974566e-03
1  0  1.04151299145892307e-03
1  1  3.45187048756825400e-04
1  2  3.54857738537047199e-04
1  3  3.39868684429499464e-04
1  4  4.42118047390529947e-04
2  0  1.07069180647745960e-03
2  1  3.54857738537047199e-04
2  2  3.64799360384859719e-04
2  3  3.49390376002132140e-04
2  4  4.54504336209735342e-04
3  0  1.02546619723483333e-03
3  1  3.39868684429499573e-04
3  2  3.49390376002132032e-04
3  3  3.34632261180844005e-04
3  4  4.35306248222000892e-04
4  0  1.33397730816974588e-03
4  1  4.42118047390529947e-04
4  2  4.54504336209735397e-04
4  3  4.35306248222000784e-04
4  4  5.66267965534584432e-04
