numXbins 5
numYbins 5
xbin  ybin  z
0  0  7.42898081645648032e-10
0  1  3.95014610163680073e-08
0  2  -5.03132950662386118e-08
0  3  3.32379209138610912e-08
0  4  2.05223594765102357e-07
1  0  3.95014610163635868e-08
1  1  2.10037616321031899e-06
1  2  -2.67526422898352921e-06
1  3  1.76733049882023038e-06
1  4  1.09121722458410032e-05
2  0  -5.03132950662341913e-08
2  1  -2.67526422898353090e-06
2  2  3.40750329404788984e-06
2  3  -2.25106157035165893e-06
2  4  -1.38989122906371953e-05
3  0  3.32379209138506819e-08
3  1  1.76733049882023546e-06
3  2  -2.25106157035165808e-06
3  3  1.48709414378712925e-06
3  4  9.18188615746701902e-06
4  0  2.05223594765089069e-07
4  1  1.09121722458409999e-05
4  2  -1.38989122906371987e-05
4  3  9.18188615746701225e-06
4  4  5.66924654776607820e-05
