numXbins 5
numYbins 5
xbin  ybin  z
0  0  1.22506533195893751e-04
0  1  4.12886398333684387e-05
0  2  3.75751467569510116e-05
0  3  4.84062687404079894e-05
0  4  4.89848579193634233e-05
1  0  4.12886398333684251e-05
1  1  1.84821145677436048e-05
1  2  1.86389937222252274e-05
1  3  2.27010601965346347e-05
1  4  2.21302562624169262e-05
2  0  3.75751467569510048e-05
2  1  1.86389937222252274e-05
2  2  1.95303433495808914e-05
2  3  2.38749304143060096e-05
2  4  2.24922304987262095e-05
3  0  4.84062687404079962e-05
3  1  2.27010601965346415e-05
3  2  2.38749304143060164e-05
3  3  3.08308474485756502e-05
3  4  2.79012351257629040e-05
4  0  4.89848579193634300e-05
4  1  2.21302562624169296e-05
4  2  2.24922304987262095e-05
4  3  2.79012351257628904e-05
4  4  2.94875444112912493e-05
