numXbins 5
numYbins 5
xbin  ybin  z
0  0  1.10748769484490060e-02
0  1  4.45779737240271836e-03
0  2  4.46168894031425626e-03
0  3  4.73815617040434112e-03
0  4  4.92313848239711669e-03
1  0  4.45779737240271836e-03
1  1  1.79432760344877388e-03
1  2  1.79589401554448684e-03
1  3  1.90717605484729230e-03
1  4  1.98163409787393326e-03
2  0  4.46168894031425626e-03
2  1  1.79589401554448684e-03
2  2  1.79746179508661718e-03
2  3  1.90884098138312968e-03
2  4  1.98336402479152652e-03
3  0  4.73815617040434112e-03
3  1  1.90717605484729230e-03
3  2  1.90884098138312968e-03
3  3  2.02712174587951419e-03
3  4  2.10626258753978746e-03
4  0  4.92313848239711669e-03
4  1  1.98163409787393326e-03
4  2  1.98336402479152652e-03
4  3  2.10626258753978746e-03
4  4  2.18849316608016277e-03
