numXbins 5
numYbins 5
xbin  ybin  z
0  0  1.06399761596122141e-04
0  1  4.11561083673239140e-05
0  2  3.85251062329320255e-05
0  3  5.65743961856835005e-05
0  4  6.16363833300982993e-05
1  0  4.11561083673239275e-05
1  1  1.59523366084251669e-05
1  2  1.49599011734062536e-05
1  3  2.19197650856255449e-05
1  4  2.35998020452359769e-05
2  0  3.85251062329320119e-05
2  1  1.49599011734062536e-05
2  2  1.40519128455850456e-05
2  3  2.05487886381134899e-05
2  4  2.18902317634271979e-05
3  0  5.65743961856835141e-05
3  1  2.19197650856255415e-05
3  2  2.05487886381134865e-05
3  3  3.01218230975990357e-05
3  4  3.25055025476195342e-05
4  0  6.16363833300982993e-05
4  1  2.35998020452359701e-05
4  2  2.18902317634271945e-05
4  3  3.25055025476195207e-05
4  4  3.74792607535914262e-05
