numXbins 5
numYbins 5
xbin  ybin  z
0  0  5.59112212634854232e-04
0  1  2.29209673105585288e-04
0  2  2.12475752686010661e-04
0  3  2.31675937630487094e-04
0  4  2.14462450965330082e-04
1  0  2.29209673105585179e-04
1  1  1.17445851850654466e-04
1  2  1.20837675131351386e-04
1  3  1.43073207700621043e-04
1  4  1.28043689313945381e-04
2  0  2.12475752686010634e-04
2  1  1.20837675131351400e-04
2  2  1.30841703933091643e-04
2  3  1.61705302579677403e-04
2  4  1.38902804832691018e-04
3  0  2.31675937630487067e-04
3  1  1.43073207700621097e-04
3  2  1.61705302579677457e-04
3  3  2.17529895063853110e-04
3  4  1.82273528759351050e-04
4  0  2.14462450965330028e-04
4  1  1.28043689313945408e-04
4  2  1.38902804832691045e-04
4  3  1.82273528759351104e-04
4  4  2.10077232267271552e-04
