numXbins 5
numYbins 5
xbin  ybin  z
0  0  1.07398808369250309e-06
0  1  -3.84258453202069451e-08
0  2  -2.64806143096496943e-07
0  3  2.38058738541043040e-07
0  4  2.64814734107205698e-07
1  0  -3.84258453202069451e-08
1  1  4.00925142137497281e-08
1  2  1.37812598296039248e-07
1  3  1.86882440900570644e-07
1  4  -1.34248470583365788e-07
2  0  -2.64806143096496943e-07
2  1  1.37812598296039248e-07
2  2  7.61158243387642564e-07
2  3  1.60493471960798577e-06
2  4  -3.53085186242896969e-07
3  0  2.38058738541042987e-07
3  1  1.86882440900570644e-07
3  2  1.60493471960798577e-06
3  3  4.87279533830420848e-06
3  4  6.49640106932882039e-08
4  0  2.64814734107205698e-07
4  1  -1.34248470583365788e-07
4  2  -3.53085186242896969e-07
4  3  6.49640106932883230e-08
4  4  2.12947812980866984e-06
