numXbins 5
numYbins 5
xbin  ybin  z
0  0  7.67013548581895754e-06
0  1  3.65937067561532665e-07
0  2  -8.31339217576468651e-07
0  3  1.51339116553137597e-06
0  4  3.24807501228229053e-06
1  0  3.65937067561532559e-07
1  1  3.33809567109683697e-06
1  2  6.76534523129269616e-06
1  3  3.03170662636972292e-06
1  4  2.81431316881742429e-06
2  0  -8.31339217576469286e-07
2  1  6.76534523129269616e-06
2  2  1.56534384339220249e-05
2  3  1.18312180553566189e-05
2  4  4.63077324726413180e-06
3  0  1.51339116553137619e-06
3  1  3.03170662636972292e-06
3  2  1.18312180553566189e-05
3  3  2.49195058663243847e-05
3  4  3.09122330411082704e-06
4  0  3.24807501228229053e-06
4  1  2.81431316881742429e-06
4  2  4.63077324726413095e-06
4  3  3.09122330411082704e-06
4  4  1.78612417927246843e-05
