numXbins 5
numYbins 5
xbin  ybin  z
0  0  6.25352171344884003e-06
0  1  1.53121422985583652e-05
0  2  3.70232330845460025e-05
0  3  3.88734149281892588e-05
0  4  -4.24663261806376854e-06
1  0  1.53121422985583652e-05
1  1  3.74927460901057253e-05
1  2  9.06537211063127788e-05
1  3  9.51840080336208762e-05
1  4  -1.03981477824965158e-05
2  0  3.70232330845460025e-05
2  1  9.06537211063127788e-05
2  2  2.19191657252064604e-04
2  3  2.30145439262397086e-04
2  4  -2.51416843895951010e-05
3  0  3.88734149281892520e-05
3  1  9.51840080336208627e-05
3  2  2.30145439262397031e-04
3  3  2.41646620484150642e-04
3  4  -2.63981032406990305e-05
4  0  -4.24663261806377192e-06
4  1  -1.03981477824965243e-05
4  2  -2.51416843895951315e-05
4  3  -2.63981032406989966e-05
4  4  2.88379722965052790e-06
