numXbins 5
numYbins 5
xbin  ybin  z
0  0  2.08894300653782268e-06
0  1  5.86562092659288675e-06
0  2  1.49513039138894545e-05
0  3  1.57209836542706348e-05
0  4  1.73256557755139590e-06
1  0  5.86562092659288336e-06
1  1  1.64702956216634604e-05
1  2  4.19823235208845736e-05
1  3  4.41435359512021543e-05
1  4  4.86493546093590713e-06
2  0  1.49513039138894511e-05
2  1  4.19823235208845736e-05
2  2  1.07011770079826196e-04
2  3  1.12520640201599145e-04
2  4  1.24005846112801567e-05
3  0  1.57209836542706415e-05
3  1  4.41435359512021408e-05
3  2  1.12520640201599118e-04
3  3  1.18313102025443056e-04
3  4  1.30389556054861222e-05
4  0  1.73256557755139188e-06
4  1  4.86493546093589866e-06
4  2  1.24005846112801753e-05
4  3  1.30389556054861544e-05
4  4  1.43698677806012713e-06
